"year","month","credate","Ward","Police.District","Community.Area","Latitude","Longitude"
2015,9,2015-09-01,12,9,61,41.8159670539707,-87.6665044629448
2015,9,2015-09-10,7,4,46,41.7493585364659,-87.5660452683389
2015,9,2015-09-10,5,3,43,41.7697974202468,-87.5680947578805
2015,9,2015-09-10,49,24,1,42.0197466468897,-87.6677156326845
2015,9,2015-09-10,29,25,25,41.9108699593398,-87.7713672462783
2015,9,2015-09-10,15,9,63,41.8011158561393,-87.6819319980612
2015,9,2015-09-10,31,25,19,41.9270927187568,-87.7480696362772
2015,9,2015-09-10,5,2,41,41.8015022871713,-87.6012009423321
2015,9,2015-09-10,33,17,16,41.9487390743265,-87.703131200521
2015,9,2015-09-09,39,17,14,41.9701623726639,-87.7289143687993
2015,9,2015-09-09,12,9,59,41.8339287250133,-87.6745509681353
2015,9,2015-09-09,44,19,6,41.9446443268208,-87.6541037823688
2015,9,2015-09-09,39,17,13,41.9833049404195,-87.729811320902
2015,9,2015-09-09,38,16,15,41.9565899646593,-87.7771281105776
2015,9,2015-09-09,41,16,9,42.0167221068697,-87.8088694449801
2015,9,2015-09-09,45,16,15,41.9667181747841,-87.7503160076067
2015,9,2015-09-09,31,25,19,41.935065895061,-87.7641660970064
2015,9,2015-09-09,14,8,58,41.8107966899226,-87.7075895369902
2015,9,2015-09-09,33,17,16,41.9541906036561,-87.7066555169502
2015,9,2015-09-09,34,22,73,41.710354267699,-87.6479334048247
2015,9,2015-09-09,18,8,70,41.7473004608914,-87.7000293762903
2015,9,2015-09-09,9,5,50,41.687513248704,-87.6109001153616
2015,9,2015-09-09,46,19,6,41.9530249608386,-87.646837139817
2015,9,2015-09-09,25,12,31,41.8567192075739,-87.6699118758134
2015,9,2015-09-09,42,1,32,41.887526695735,-87.6196374149782
2015,9,2015-09-09,8,6,44,41.7381501038334,-87.6013706980716
2015,9,2015-09-09,11,9,60,41.8351596636404,-87.6545814202562
2015,9,2015-09-09,12,9,58,41.8225807030127,-87.7129062768951
2015,9,2015-09-09,12,9,58,41.8225818156604,-87.7128318304296
2015,9,2015-09-09,12,9,58,41.8225829282598,-87.712757383962
2015,9,2015-09-09,11,9,60,41.8341670092243,-87.6567366273702
2015,9,2015-09-08,25,10,31,41.8503764825932,-87.6707334924704
